,TRNUNT,TRNPI1,TRNPQ1,EquipmentID,min_odo,max_odo,mean_odo,min_mean_variance,max_mean_variance,variance_of_variances,odo_change,Count
0,,ULSD,2887.0200000000004,,,,,,,,,
1,1520,ULSD,2767.74,1520,511876.7,587759.8,579195.2801630445,8564.519836955587,67318.58016304445,58754.06032608886,75883.10000000003,1840.0
2,1521,ULSD,4406.219999999998,1521,457.7,612074.6,597987.7765498636,14086.823450136348,597530.0765498637,583443.2530997273,611616.9,2597.0
3,1522,ULSD,3662.87,1522,206524.5,226182.2,216859.0326331586,9323.1673668414,10334.532633158611,1011.3652663172106,19657.70000000001,2666.0
4,1523,ULSD,1909.9099999999999,1523,552332.1,563615.1,553378.1830303026,10236.91696969734,1046.0830303026596,-9190.83393939468,11283.0,165.0
5,1524,ULSD,3912.9799999999996,1524,492407.9,517765.3,504734.8421868456,13030.457813154382,12326.942186845583,-703.5156263087993,25357.399999999965,2387.0
6,1525,ULSD,427.13,1525,447.2,556613.3,554562.8729695438,2050.4270304562524,554115.6729695438,552065.2459390876,556166.1000000001,788.0
7,1526,ULSD,1942.9899999999998,1526,576860.3,590814.4,584408.3584824189,6406.041517581092,7548.0584824188845,1142.0169648377923,13954.099999999977,1621.0
8,1527,ULSD,4736.100000000002,1527,598520.9,629400.4,614199.5058627969,15200.894137203111,15678.605862796889,477.7117255937774,30879.5,3309.0
9,1528,ULSD,5016.94,1528,587206.3,618110.9,602348.7158441526,15762.184155847412,15142.415844152565,-619.7683116948465,30904.599999999977,3465.0
10,1529,ULSD,3879.9899999999993,1529,526439.8,550944.3,538464.0402279024,12480.259772097692,12024.240227902308,-456.0195441953838,24504.5,2896.0
11,1530,ULSD,4086.91,1530,446993.7,573175.2,559273.41696716,13901.783032840001,112279.71696715994,98377.93393431994,126181.49999999994,3106.0
12,1531,ULSD,3349.7999999999993,1531,18.2,480176.9,468523.01409295347,11653.885907046555,468504.81409295346,456850.9281859069,480158.7,2668.0
13,1532,ULSD,2344.21,1532,567877.6,581694.8,575565.3460759461,6129.453924053931,7687.746075946139,1558.2921518922085,13817.20000000007,3160.0
14,1533,ULSD,2064.35,1533,125802.9,563717.5,555995.4881987587,7722.011801241315,430192.58819875866,422470.57639751735,437914.6,1288.0
15,1534,ULSD,14154.900000000001,1534,478171.4,501430.7,489652.63573987054,11778.064260129468,11481.23573987052,-296.8285202589468,23259.29999999999,3629.0
16,1535,ULSD,5193.02,1535,575337.7,610150.2,592040.1014925368,18110.098507463117,16702.401492536883,-1407.6970149262343,34812.5,3752.0
17,1536,ULSD,2378.87,1536,600940.9,616209.5,610544.1903826275,5665.3096173724625,9603.290382627514,3937.9807652550517,15268.599999999977,1934.0
18,1537,ULSD,1074.61,1537,446.6,560601.8,557413.5343700582,3188.2656299418304,556966.9343700582,553778.6687401164,560155.2000000001,1897.0
19,1538,ULSD,705.87,,,,,,,,,
20,1539,ULSD,2492.74,1539,91634.8,586103.0,576922.6956400413,9180.30435995874,485287.8956400413,476107.59128008253,494468.2,2867.0
21,1540,ULSD,3989.02,1540,592017.1,618111.6,604974.4459384532,13137.154061546782,12957.345938453218,-179.80812309356406,26094.5,3607.0
22,1541,ULSD,3054.600000000001,1541,537117.4,556623.6,547130.6144230772,9492.985576922772,10013.214423077181,520.2288461544085,19506.199999999953,2392.0
23,1542,ULSD,4152.71,1542,513062.5,539395.8,526867.4114893611,12528.388510638964,13804.911489361082,1276.5229787221178,26333.300000000047,3290.0
24,1543,ULSD,5457.9,1543,449.6,548681.4,531027.295814186,17654.104185814038,530577.695814186,512923.59162837197,548231.8,6092.0
25,1544,ULSD,4361.87,1544,574855.8,603917.1,589555.0973905475,14362.002609452466,14699.297390547465,337.29478109499905,29061.29999999993,3449.0
26,1545,ULSD,4561.51,1545,576231.4,604582.6,591418.0770482273,13164.52295177267,15186.677048227284,2022.1540964546148,28351.199999999953,3442.0
27,1546,ULSD,4187.53,1546,540053.6,566249.4,552983.7027529766,13265.697247023461,12930.102752976585,-335.5944940468762,26195.800000000047,2688.0
28,1547,ULSD,3471.6600000000008,1547,542976.4,566828.2,555461.8145234463,11366.385476553696,12485.414523446234,1119.0290468925377,23851.79999999993,3305.0
29,1548,ULSD,1031.73,1548,447.2,542438.3,538234.6059990076,4203.694000992458,537787.4059990076,533583.7119980152,541991.1000000001,2017.0
30,1549,ULSD,3236.3900000000003,1549,565549.2,585928.2,575881.819666109,10046.380333890906,10332.619666109094,286.2393322181888,20379.0,2995.0
31,1550,ULSD,7356.609999999997,1550,486975.9,539659.1,505140.7077315156,34518.3922684844,18164.807731515553,-16353.584536968847,52683.19999999995,3531.0
32,1551,ULSD,12079.200000000003,1551,72056.3,581044.2,543572.2693893234,37471.93061067653,471515.96938932344,434044.0387786469,508987.89999999997,9121.0
33,1552,ULSD,9104.810000000001,1552,510184.7,567565.9,541127.3300512163,26438.569948783726,30942.630051216285,4504.060102432559,57381.20000000001,8592.0
34,1554,ULSD,5198.23,1554,143632.2,563020.0,541080.2865487138,21939.713451286196,397448.0865487138,375508.3730974276,419387.8,4126.0
35,1555,ULSD,8717.69,1555,477812.8,540178.4,496586.73809374025,43591.661906259775,18773.93809374026,-24817.723812519514,62365.600000000035,9579.0
36,1556,ULSD,10477.299999999997,1556,498167.1,564552.7,533229.7343383346,31322.96566166531,35062.63433833467,3739.66867666936,66385.59999999998,7927.0
37,1557,ULSD,6646.339999999998,1557,82412.6,549173.4,530289.2176175779,18884.18238242215,447876.6176175779,428992.43523515575,466760.80000000005,5188.0
38,1558,ULSD,11725.960000000001,1558,15.8,505251.2,464903.6451661793,40347.55483382073,464887.8451661793,424540.29033235856,505235.4,10561.0
39,1559,ULSD,15244.250000000007,1559,505629.3,607715.9,559718.0479704218,47997.85202957818,54088.74797042186,6090.8959408436785,102086.60000000003,12983.0
40,1560,ULSD,14149.410000000005,1560,452.3,582178.7,538104.5495157826,44074.15048421733,537652.2495157826,493578.09903156525,581726.3999999999,11978.0
41,1561,ULSD,10612.150000000003,1561,15.0,562495.0,531320.3919520315,31174.608047968475,531305.3919520315,500130.78390406305,562480.0,8089.0
42,1562,ULSD,11686.570000000002,1562,518796.9,594146.0,558249.1272803517,35896.872719648294,39452.22728035168,3555.3545607033884,75349.09999999998,8343.0
43,1563,ULSD,6615.580000000001,1563,364114.1,499325.4,395424.6373149764,103900.7626850236,31310.53731497645,-72590.22537004715,135211.30000000005,9661.0
44,1564,ULSD,5698.209999999999,1564,139835.9,531260.9,513755.9274430878,17504.972556912224,373920.0274430878,356415.05488617555,391425.0,7204.0
45,1565,ULSD,14866.070000000003,1565,16.9,599301.4,558824.0042340962,40477.39576590387,558807.1042340961,518329.70846819226,599284.5,12423.0
46,1566,ULSD,8098.619999999998,1566,508332.1,558037.8,529547.9943682874,28489.80563171266,21215.89436828741,-7273.911263425252,49705.70000000007,8097.0
47,1567,ULSD,14222.890000000018,1567,12.9,572417.4,520043.71602104855,52373.68397895148,520030.8160210485,467657.13204209704,572404.5,11591.0
48,1568,ULSD,13068.349999999995,1568,14.8,592019.6,552705.2375591677,39314.36244083231,552690.4375591676,513376.0751183353,592004.7999999999,10775.0
49,1569,ULSD,4722.539999999999,1569,517996.2,527936.1,523240.98471380485,4695.115286195127,5244.784713804838,549.6694276097114,9939.899999999965,1485.0
50,1570,ULSD,10341.349999999999,1570,131687.1,554954.1,520853.5076941292,34100.592305870785,389166.40769412916,355065.8153882584,423267.0,8461.0
51,1571,ULSD,11204.63,1571,552317.2,632573.3,602008.1261878526,30565.173812147463,49690.92618785263,19125.752375705168,80256.1000000001,9997.0
52,1572,ULSD,13525.939999999997,1572,13.7,599044.8,554493.1107932072,44551.68920679286,554479.4107932072,509927.7215864144,599031.1000000001,10136.0
53,1573,ULSD,7174.74,1573,487717.0,544249.7,509385.2309132385,34864.46908676147,21668.230913238483,-13196.238173522986,56532.69999999995,3953.0
54,1574,ULSD,14575.329999999994,1574,245926.3,574380.4,517322.35405221704,57058.045947782986,271396.05405221705,214338.00810443406,328454.10000000003,11759.0
55,1575,ULSD,10996.740000000002,1575,16.2,559991.0,526385.1601383162,33605.83986168378,526368.9601383163,492763.1202766325,559974.8,9977.0
56,1576,ULSD,17828.65,1576,202044.5,600194.9,547146.922612493,53047.97738750698,345102.42261249304,292054.44522498606,398150.4,13068.0
57,1577,ULSD,5127.7300000000005,1577,16.0,479644.6,461962.0758562015,17682.52414379845,461946.0758562015,444263.5517124031,479628.6,12935.0
58,1578,ULSD,12291.26,1578,478738.0,557640.8,513805.1000437512,43835.69995624886,35067.10004375118,-8768.59991249768,78902.80000000005,11428.0
59,1579,ULSD,9367.529999999999,1579,13.6,524684.1,493379.34087865514,31304.759121344832,493365.74087865517,462060.98175731034,524670.5,8513.0
60,1580,ULSD,12566.039999999995,1580,456.0,579221.3,537795.6893664065,41425.61063359352,537339.6893664065,495914.078732813,578765.3,10401.0
61,1581,ULSD,13528.620000000004,1581,451399.8,536804.6,494868.6457168418,41935.95428315818,43468.84571684181,1532.8914336836315,85404.79999999999,12304.0
62,1582,ULSD,6289.719999999999,1582,445.1,534213.1,509348.69708394253,24864.402916057443,508903.59708394256,484039.1941678851,533768.0,3395.0
63,1583,ULSD,6758.209999999998,1583,480149.5,532421.4,489360.32175239804,43061.07824760198,9210.821752398042,-33850.25649520394,52271.90000000002,2294.0
64,1584,ULSD,11021.570000000002,1584,443.9,570049.7,530428.7975042302,39620.902495769784,529984.8975042301,490363.99500846036,569605.7999999999,9456.0
65,1585,ULSD,11209.550000000007,1585,143853.9,587105.6,546437.3876100734,40668.21238992654,402583.4876100734,361915.27522014687,443251.69999999995,9653.0
66,1586,ULSD,12365.26,1586,196382.6,574355.3,536871.5976551452,37483.70234485483,340488.99765514524,303005.2953102904,377972.70000000007,13391.0
67,1587,ULSD,10885.93000000001,1587,459.5,590925.0,557134.1553667419,33790.844633258064,556674.6553667419,522883.8107334839,590465.5,9298.0
68,1588,ULSD,13651.850000000002,1588,440.5,530434.6,485804.9976545672,44629.602345432795,485364.4976545672,440734.8953091344,529994.1,11597.0
69,1589,ULSD,13644.059999999996,1589,457.8,573477.2,529424.660324085,44052.539675914915,528966.860324085,484914.3206481701,573019.3999999999,14379.0
70,1590,ULSD,15866.479999999994,1590,450.7,553460.0,503770.75757646555,49689.24242353445,503320.05757646554,453630.8151529311,553009.3,12849.0
71,1591,ULSD,7920.640000000001,1591,56150.6,536319.9,511807.67735848424,24512.22264151578,455657.07735848427,431144.8547169685,480169.30000000005,9593.0
72,1592,ULSD,11213.010000000002,1592,545.2,531158.9,500694.8078500282,30464.09214997181,500149.6078500282,469685.5157000564,530613.7000000001,10535.0
73,1593,ULSD,14351.140000000003,1593,441415.7,531350.1,490584.6669280854,40765.433071914595,49168.96692808537,8403.533856170776,89934.39999999997,10583.0
