,TRNUNT,TRNPI1,TRNPQ1,EquipmentID,min_odo,max_odo,median_odo,odo_change,Count
1,1520,ULSD,2767.74,1520,511876.7,587759.8,579919.6499999999,75883.10000000003,1840.0
2,1521,ULSD,4406.219999999998,1521,583918.2,612074.6,597780.8,28156.400000000023,2597.0
3,1522,ULSD,3662.87,1522,206524.5,226182.2,216718.9,19657.70000000001,2666.0
4,1523,ULSD,1909.9099999999999,1523,552332.1,563615.1,552350.9,11283.0,165.0
5,1524,ULSD,3912.9799999999996,1524,492407.9,517765.3,504675.3,25357.399999999965,2387.0
7,1526,ULSD,1942.9899999999998,1526,576860.3,590814.4,583874.1,13954.099999999977,1621.0
8,1527,ULSD,4736.100000000002,1527,598520.9,629400.4,614790.3,30879.5,3309.0
9,1528,ULSD,5016.94,1528,587206.3,618110.9,602612.4,30904.599999999977,3465.0
10,1529,ULSD,3879.9899999999993,1529,526439.8,550944.3,538105.6,24504.5,2896.0
11,1530,ULSD,4086.91,1530,548250.6,573175.2,559151.8,24924.599999999977,3106.0
12,1531,ULSD,3349.7999999999993,1531,457957.5,480176.9,468828.8,22219.400000000023,2668.0
13,1532,ULSD,2344.21,1532,567877.6,581694.8,576105.4,13817.20000000007,3160.0
14,1533,ULSD,2064.35,1533,551866.9,563717.5,558615.5,11850.599999999977,1288.0
15,1534,ULSD,14154.900000000001,1534,478171.4,501430.7,489214.9,23259.29999999999,3629.0
16,1535,ULSD,5193.02,1535,575337.7,610150.2,591665.6,34812.5,3752.0
17,1536,ULSD,2378.87,1536,600940.9,616209.5,611882.5,15268.599999999977,1934.0
18,1537,ULSD,1074.61,1537,553831.0,560601.8,559010.1,6770.800000000047,1897.0
20,1539,ULSD,2492.74,1539,569238.8,586103.0,577426.9,16864.199999999953,2867.0
21,1540,ULSD,3989.02,1540,592017.1,618111.6,605064.8,26094.5,3607.0
22,1541,ULSD,3054.600000000001,1541,537117.4,556623.6,547005.6,19506.199999999953,2392.0
23,1542,ULSD,4152.71,1542,513062.5,539395.8,526505.7,26333.300000000047,3290.0
24,1543,ULSD,5457.9,1543,511661.6,548681.4,531623.9,37019.80000000005,6092.0
25,1544,ULSD,4361.87,1544,574855.8,603917.1,589654.8,29061.29999999993,3449.0
26,1545,ULSD,4561.51,1545,576231.4,604582.6,591639.8,28351.199999999953,3442.0
27,1546,ULSD,4187.53,1546,540053.6,566249.4,553006.8500000001,26195.800000000047,2688.0
28,1547,ULSD,3471.6600000000008,1547,542976.4,566828.2,555733.2,23851.79999999993,3305.0
29,1548,ULSD,1031.73,1548,536395.2,542438.3,539163.8,6043.100000000093,2017.0
30,1549,ULSD,3236.3900000000003,1549,565549.2,585928.2,575738.8,20379.0,2995.0
31,1550,ULSD,7356.609999999997,1550,486975.9,539659.1,503643.4,52683.19999999995,3531.0
32,1551,ULSD,12079.200000000003,1551,503562.6,581044.2,544946.6,77481.59999999998,9121.0
33,1552,ULSD,9104.810000000001,1552,510184.7,567565.9,541264.35,57381.20000000001,8592.0
34,1554,ULSD,5198.23,1554,524947.2,563020.0,541121.5,38072.80000000005,4126.0
35,1555,ULSD,8717.69,1555,477812.8,540178.4,495182.5,62365.600000000035,9579.0
36,1556,ULSD,10477.299999999997,1556,498167.1,564552.7,534489.6,66385.59999999998,7927.0
37,1557,ULSD,6646.339999999998,1557,508537.7,549173.4,531972.8,40635.70000000001,5188.0
38,1558,ULSD,11725.960000000001,1558,431923.3,505251.2,466197.55000000005,73327.90000000002,10561.0
39,1559,ULSD,15244.250000000007,1559,505629.3,607715.9,560695.8,102086.60000000003,12983.0
40,1560,ULSD,14149.410000000005,1560,491945.1,582178.7,539898.4,90233.59999999998,11978.0
41,1561,ULSD,10612.150000000003,1561,493721.8,562495.0,535516.8,68773.20000000001,8089.0
42,1562,ULSD,11686.570000000002,1562,518796.9,594146.0,557852.2,75349.09999999998,8343.0
43,1563,ULSD,6615.580000000001,1563,364114.1,499325.4,399781.2,135211.30000000005,9661.0
44,1564,ULSD,5698.209999999999,1564,498691.0,531260.9,515350.2,32569.900000000023,7204.0
45,1565,ULSD,14866.070000000003,1565,505265.2,599301.4,565625.35,94036.20000000001,12423.0
46,1566,ULSD,8098.619999999998,1566,508332.1,558037.8,527616.5,49705.70000000007,8097.0
47,1567,ULSD,14222.890000000018,1567,480368.2,572417.4,524016.8,92049.20000000001,11591.0
48,1568,ULSD,13068.349999999995,1568,505912.5,592019.6,556361.1,86107.09999999998,10775.0
49,1569,ULSD,4722.539999999999,1569,517996.2,527936.1,523219.2,9939.899999999965,1485.0
50,1570,ULSD,10341.349999999999,1570,490032.0,554954.1,521849.35,64922.09999999998,8461.0
51,1571,ULSD,11204.63,1571,552317.2,632573.3,608125.9,80256.1000000001,9997.0
52,1572,ULSD,13525.939999999997,1572,508525.9,599044.8,553628.5,90518.90000000002,10136.0
53,1573,ULSD,7174.74,1573,487717.0,544249.7,502253.0,56532.69999999995,3953.0
54,1574,ULSD,14575.329999999994,1574,473342.3,574380.4,514663.9,101038.10000000003,11759.0
55,1575,ULSD,10996.740000000002,1575,490787.1,559991.0,527446.9,69203.90000000002,9977.0
56,1576,ULSD,17828.65,1576,491358.0,600194.9,547962.3,108836.90000000002,13068.0
57,1577,ULSD,5127.7300000000005,1577,398171.1,479644.6,462167.6,81473.5,12935.0
58,1578,ULSD,12291.26,1578,478738.0,557640.8,511914.1,78902.80000000005,11428.0
59,1579,ULSD,9367.529999999999,1579,464579.4,524684.1,494114.4,60104.69999999995,8513.0
60,1580,ULSD,12566.039999999995,1580,500945.2,579221.3,539401.0,78276.10000000003,10401.0
61,1581,ULSD,13528.620000000004,1581,451399.8,536804.6,495853.5,85404.79999999999,12304.0
62,1582,ULSD,6289.719999999999,1582,492414.2,534213.1,504292.5,41798.899999999965,3395.0
63,1583,ULSD,6758.209999999998,1583,480149.5,532421.4,488943.1,52271.90000000002,2294.0
64,1584,ULSD,11021.570000000002,1584,500730.0,570049.7,511876.7,69319.69999999995,9456.0
65,1585,ULSD,11209.550000000007,1585,513931.8,587105.6,545018.9,73173.79999999999,9653.0
66,1586,ULSD,12365.26,1586,497291.1,574355.3,537818.4,77064.20000000007,13391.0
67,1587,ULSD,10885.93000000001,1587,521612.2,590925.0,557865.4,69312.79999999999,9298.0
68,1588,ULSD,13651.850000000002,1588,441818.5,530434.6,486954.8,88616.09999999998,11597.0
69,1589,ULSD,13644.059999999996,1589,488762.4,573477.2,529817.4,84714.79999999993,14379.0
70,1590,ULSD,15866.479999999994,1590,455684.4,553460.0,504678.7,97775.59999999998,12849.0
71,1591,ULSD,7920.640000000001,1591,488403.5,536319.9,510471.65,47916.40000000002,9593.0
72,1592,ULSD,11213.010000000002,1592,460619.9,531158.9,501938.0,70539.0,10535.0
73,1593,ULSD,14351.140000000003,1593,441415.7,531350.1,492267.8,89934.39999999997,10583.0
74,1594,ULSD,12939.99,1594,509806.2,589256.8,555310.9,79450.60000000003,10307.0
75,1595,ULSD,17548.420000000006,1595,495096.1,600132.4,547580.4,105036.30000000005,14602.0
76,1596,ULSD,18680.99,1596,479152.2,597665.6,539625.55,118513.39999999997,12638.0
77,1597,ULSD,17188.870000000003,1597,508335.3,616982.4,569907.9,108647.10000000003,14419.0
78,1598,ULSD,15306.520000000006,1598,474063.0,571770.8,533120.0,97707.80000000005,12727.0
